Country,Arrivals,Log Arrivals,HDI,Political Status,Heritage Sites,Inflation Rate,Corruption Index,Pollution Level
Albania,5340000,15.49073621,0.796,Electoral Democracy,4,1.9866613,38,18.55524382
Angola,218000,12.29225034,0.597,Electoral Autocracy,1,29.84448,19,23.95915081
Armenia,1652000,14.31749723,0.775,Electoral Autocracy,3,0.9695533,35,34.01535699
Austria,30816000,17.24354459,0.914,Liberal Democracy,10,2.081269,75,12.15575923
Azerbaijan,2633000,14.78363444,0.754,Electoral Autocracy,2,12.935919,31,23.24218815
Bahrain,4366000,15.28935782,0.867,Closed Autocracy,2,1.3867183,36,61.2374946
Bangladesh,267000,12.49500394,0.622,Electoral Autocracy,3,5.70207,28,58.34397664
Barbados,680000,13.42984808,0.803,Liberal Democracy,1,4.660185,68,23.28781093
Belarus,2142000,14.57725053,0.811,Electoral Autocracy,4,6.0318375,44,15.77751323
Belgium,9119000,16.02587071,0.931,Liberal Democracy,13,2.1259708,75,12.76915779
Benin,295000,12.59473064,0.505,Electoral Democracy,3,0.043264855,39,58.38795872
Bhutan,274000,12.52088339,0.644,Electoral Democracy,0,4.955084,67,33.81151504
Bolivia,1142000,13.94829167,0.707,Electoral Democracy,7,2.822758,33,26.54186339
Bosnia and Herzegovina,1053000,13.86715379,0.77,Electoral Democracy,4,0.8100394,38,30.90182078
Botswana,1655000,14.31931157,0.705,Liberal Democracy,2,3.3082807,61,19.96632322
Brazil,6621000,15.70575697,0.758,Electoral Democracy,21,3.4463735,37,12.21933885
Bulgaria,9273000,16.04261751,0.81,Electoral Democracy,10,2.0615962,43,20.03378582
Burkina Faso,144000,11.87756858,0.432,Electoral Democracy,2,1.482999,42,60.31006928
Cambodia,6201000,15.64022113,0.581,Electoral Autocracy,3,2.9126356,21,20.70753128
Canada,21134000,16.86639368,0.929,Liberal Democracy,18,1.5968841,82,7.044920253
Central African Republic,109000,11.59910316,0.379,Electoral Autocracy,2,4.180723,23,33.88538316
Chad,77000,11.2515607,0.389,Electoral Autocracy,2,-1.5370996,20,56.25062147
Chile,5723000,15.5600037,0.854,Liberal Democracy,6,2.1827185,67,23.41160413
China,62900000,17.95705672,0.757,Closed Autocracy,52,1.593136,41,45.83693362
Colombia,4020000,15.20679246,0.765,Electoral Democracy,8,4.3143134,37,17.25285225
Costa Rica,3017000,14.91977352,0.8,Liberal Democracy,4,1.625907,59,17.16587534
Croatia,16645000,16.62762043,0.855,Electoral Democracy,10,1.1293721,49,18.7613906
Cyprus,3939000,15.18643744,0.891,Liberal Democracy,3,0.5317665,57,15.10712261
Czechia,14282600,16.47455257,0.896,Liberal Democracy,13,2.4505339,57,16.94327843
Denmark,12749000,16.3609634,0.944,Liberal Democracy,9,1.1471322,88,10.09455952
Djibouti,142000,11.86358234,0.491,Electoral Autocracy,0,0.56811213,31,44.08540384
Dominican Republic,6569000,15.69787217,0.761,Electoral Democracy,1,3.279557,29,19.12032993
El Salvador,1677300,14.33269592,0.667,Electoral Democracy,1,1.012354,33,22.10659549
Estonia,3226000,14.98675354,0.886,Liberal Democracy,2,3.4172356,71,6.154852382
Eswatini,782000,13.56961002,0.601,Closed Autocracy,0,6.2213755,39,20.26132158
Ethiopia,849000,13.65181447,0.472,Electoral Autocracy,9,10.687115,35,30.41206651
Finland,3224000,14.98613338,0.934,Liberal Democracy,7,0.754015,85,5.126739613
France,89322000,18.30775838,0.899,Liberal Democracy,44,1.0322827,70,10.45831237
Georgia,4757000,15.37512778,0.807,Electoral Democracy,3,6.0353174,56,18.53426896
Germany,38881000,17.47601626,0.944,Liberal Democracy,44,1.5094949,81,11.89784511
Ghana,956000,13.77051319,0.585,Electoral Democracy,2,12.371922,40,60.35903417
Greece,30123000,17.22079956,0.88,Liberal Democracy,18,1.1212546,48,15.67241003
Guatemala,1781000,14.39268556,0.636,Electoral Democracy,3,4.4245367,28,25.18454521
Guinea-Bissau,55000,10.91508846,0.479,Electoral Democracy,0,1.6911147,17,56.78145126
Guyana,287000,12.56723749,0.699,Electoral Democracy,0,1.9046562,38,25.21647707
Haiti,447000,13.01031387,0.557,Electoral Autocracy,1,10.680089,22,20.71086317
Honduras,847000,13.64945597,0.614,Electoral Autocracy,2,3.9343607,29,22.05712509
Hungary,17552000,16.68067846,0.846,Electoral Democracy,8,2.3482428,45,17.02368843
Iceland,2343800,14.6672841,0.955,Liberal Democracy,2,1.7604156,77,5.839962796
Indonesia,13396000,16.41046671,0.708,Electoral Democracy,8,3.808798,37,16.95556348
Ireland,10926000,16.20665583,0.934,Liberal Democracy,2,0.36217305,74,8.384296366
Israel,4121000,15.23160641,0.906,Liberal Democracy,9,0.25941497,62,20.02934413
Italy,61567200,17.93563982,0.889,Liberal Democracy,53,1.2265332,50,15.96602618
Jamaica,2473000,14.72094255,0.711,Electoral Democracy,1,4.3783984,44,16.65664146
Jordan,4150000,15.23861889,0.744,Closed Autocracy,5,3.3238945,48,28.38316836
Kuwait,200000,12.20607265,0.835,Electoral Autocracy,0,2.171833,39,58.12917197
Latvia,1946000,14.48128654,0.863,Liberal Democracy,2,2.9303632,58,11.66799731
Lebanon,1964000,14.49049377,0.765,Electoral Autocracy,5,4.321352,28,18.89146139
Lithuania,2825000,14.85401892,0.878,Electoral Democracy,4,3.7228887,59,9.799936427
Luxembourg,1018000,13.83335048,0.918,Liberal Democracy,1,1.7307996,82,9.608466546
Madagascar,291000,12.58107855,0.502,Electoral Autocracy,3,8.609051,24,12.55149979
Malawi,871000,13.67739726,0.506,Electoral Democracy,2,11.543394,31,21.29094594
Malaysia,25832000,17.06712459,0.8,Electoral Autocracy,4,3.8712013,47,14.94500758
Maldives,1484000,14.2102517,0.74,Electoral Autocracy,0,2.8174734,33,11.33337061
Mali,203000,12.22096126,0.413,Electoral Democracy,4,1.7598574,31,66.77434433
Malta,2599000,14.77063731,0.896,Electoral Democracy,3,1.3643545,56,12.90260227
Mauritius,1399000,14.15126825,0.797,Electoral Democracy,2,3.666997,50,8.995949851
Mexico,41313000,17.53668778,0.776,Electoral Democracy,34,6.041457,29,18.30022855
Moldova,160000,11.98292909,0.764,Electoral Democracy,1,6.57023,31,15.14239195
Mongolia,529000,13.17874371,0.742,Electoral Democracy,5,4.301431,36,31.40669659
Montenegro,2077000,14.5464351,0.833,Electoral Autocracy,4,2.380236,46,21.18858349
Morocco,12289000,16.32421511,0.671,Closed Autocracy,9,0.7546632,40,28.01615651
Mozambique,2743000,14.82456277,0.45,Electoral Autocracy,1,15.113208,25,18.75479866
Myanmar,3551000,15.08273981,0.58,Electoral Autocracy,1,4.5725365,30,28.1336718
Namibia,1557000,14.25827145,0.634,Electoral Democracy,2,6.1457996,51,19.73912251
Nepal,1173000,13.97507513,0.581,Electoral Democracy,4,3.6270962,31,64.64427161
Netherlands,18780000,16.74830303,0.936,Liberal Democracy,10,1.3814588,82,12.7176558
New Zealand,3686000,15.12005242,0.935,Liberal Democracy,3,1.8507876,89,6.829076186
Nicaragua,1256000,14.04344263,0.656,Electoral Autocracy,2,3.8506718,26,19.19721806
Niger,157000,11.96400108,0.377,Electoral Democracy,3,2.7963731,33,88.7878832
Nigeria,1966000,14.49151158,0.528,Electoral Democracy,2,16.502266,27,63.20530513
North Macedonia,707000,13.46878594,0.789,Electoral Democracy,2,1.3516189,35,30.4645094
Norway,5688000,15.55386925,0.959,Liberal Democracy,8,1.8751006,85,6.521558082
Oman,2301000,14.64885437,0.833,Closed Autocracy,5,1.5890942,44,48.70468521
Panama,1785000,14.39492897,0.814,Electoral Democracy,5,0.8755859,37,13.84475303
Papua New Guinea,140000,11.8493977,0.553,Electoral Autocracy,1,5.4220457,29,15.93042253
Paraguay,1181000,13.9818721,0.739,Electoral Democracy,1,3.6024773,29,10.28797803
Peru,4419000,15.30142398,0.765,Electoral Democracy,12,2.9949005,37,32.70830669
Philippines,7168000,15.78513723,0.7,Electoral Democracy,6,2.8531878,34,18.33270181
Poland,19622000,16.79216194,0.874,Electoral Democracy,16,2.0759356,60,22.26317187
Portugal,16186000,16.59965723,0.857,Liberal Democracy,15,1.3686141,63,9.255198044
Rwanda,1619000,14.29731923,0.52,Electoral Autocracy,0,8.279536,55,30.35535274
Sao Tome and Principe,33400,10.41631118,0.604,Electoral Democracy,0,5.690296,46,21.30752024
Saudi Arabia,15334000,16.54558314,0.849,Closed Autocracy,4,-0.8381946,49,59.44024848
Serbia,1711000,14.35258855,0.802,Electoral Autocracy,5,3.1310625,41,26.2823086
Seychelles,362000,12.79939949,0.798,Liberal Democracy,2,2.8567958,60,9.847947439
Sierra Leone,57000,10.95080655,0.448,Electoral Democracy,0,18.22151,30,44.70737676
Singapore,14673000,16.50151963,0.938,Electoral Autocracy,1,0.5762603,84,16.07688405
Slovenia,4425000,15.30278084,0.912,Liberal Democracy,4,1.4291074,61,16.50269644
Solomon Islands,27900,10.23638197,0.566,Electoral Democracy,1,0.48868677,39,13.43405834
South Africa,10472000,16.16421559,0.725,Electoral Democracy,9,5.1842465,43,23.7549374
Spain,82808000,18.23203523,0.896,Liberal Democracy,46,1.9560764,57,10.43666705
Sri Lanka,2334000,14.66309409,0.77,Electoral Democracy,8,7.704138,38,18.34920163
Sudan,836000,13.63638389,0.52,Electoral Autocracy,3,32.351627,16,59.81684485
Sweden,7440000,15.82238141,0.941,Liberal Democracy,15,1.794499,84,6.061803567
Switzerland,11715000,16.27638063,0.955,Liberal Democracy,13,0.53378785,85,9.914814645
Tanzania,1378000,14.13614373,0.517,Electoral Autocracy,7,5.318716,36,21.00066031
Thailand,38178000,17.45776999,0.795,Closed Autocracy,5,0.6656319,37,27.10067447
Togo,573000,13.258641,0.522,Electoral Autocracy,1,-0.98188984,32,58.24504946
Trinidad and Tobago,375500,12.83601375,0.811,Liberal Democracy,0,1.8803844,41,25.39889158
Tunisia,8299000,15.93164558,0.732,Electoral Democracy,8,5.3088484,42,22.57175707
Uganda,1506000,14.22496769,0.534,Electoral Autocracy,3,5.2097173,26,32.23969928
Ukraine,14104000,16.461969,0.771,Electoral Autocracy,7,14.438323,30,15.65854285
United Arab Emirates,20214000,16.82188599,0.898,Closed Autocracy,1,1.9668256,71,44.24850564
United Kingdom,38664000,17.47041949,0.929,Liberal Democracy,32,2.5577557,82,10.38142014
United States,79745920,18.19435614,0.928,Liberal Democracy,24,2.13011,75,7.790405844
Uruguay,3469000,15.05937693,0.815,Liberal Democracy,2,6.218094,70,10.0613622
Vanuatu,115600,11.65789124,0.599,Electoral Democracy,1,3.0845263,43,13.67133279
